2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:47 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:48 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:48 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:56:04 Debug: Notice (8): Undefined variable: palestra in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 6]
2011-09-04 14:56:04 Debug: Notice (8): Undefined variable: palestra in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\index.ctp, line 8]
2011-09-04 15:05:37 Debug: Notice (8): Undefined index: Palestras in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 11]
2011-09-04 15:05:51 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 13]
2011-09-04 15:05:51 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 16]
2011-09-04 15:05:51 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 18]
2011-09-04 15:05:54 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 13]
2011-09-04 15:05:54 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 16]
2011-09-04 15:05:54 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 18]
2011-09-04 15:05:57 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 13]
2011-09-04 15:05:57 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 16]
2011-09-04 15:05:57 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 18]
2011-09-04 15:06:32 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 14]
2011-09-04 15:06:32 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 17]
2011-09-04 15:06:32 Debug: Notice (8): Undefined variable: value in [C:\WAMPS\apache\htdocs\cakephp\app\views\palestrantes\palestrante.ctp, line 19]
